org.argouml.model.XmiWriter	  xmi writer xmi writer set xmi extension writer write  
org.argouml.model.euml.VisibilityKindEUMLImpl	  visibility kind e uml implement visibility kind e uml implement get private get protected get public get package  
org.argouml.model.UseCasesHelper	  use cases helper use cases helper get extends get includes get all actors remove extend set addition add extend add include set condition set extension set includes set use case get all use cases get extended use cases get included use cases get specification path add extension point add extension point remove extension point remove include set extension points set location set base  
org.argouml.ui.explorer.rules.GoTransitionToSource	  go transition    source go transition    source get dependencies get rule name get children  
org.argouml.uml.cognitive.critics.CrReservedName	  critic reserved name critic reserved name get clarifier get wizard class get criticized design materials init wizard predicate    builtin names uml reserved     uid  
org.argouml.ui.SettingsTabEnvironment	  settings tab environment settings tab environment build panel get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh top panel field argo ext directory field java home field user home field user directory field startup directory field graphics format field graphics resolution the resolutions     uid  
org.argouml.uml.ui.foundation.extension_mechanisms.UMLTagDefinitionComboBoxModel	  uml tag definition combo box model uml tag definition combo box model remove other model event listeners add other model event listeners get selected model element   lazy   valid element build model list add all   model elements from get applicable tag definitions set selected item model changed       uid  
org.argouml.sequence2.diagram.ModeBroomMessages	  mode broom messages mode broom messages get all figure messages downward get all figure messages paint mouse dragged mouse pressed mouse released direction undefined direction upward direction downward current direction should draw x  x  y last x  last x  last y  
org.argouml.persistence.PGMLStackParser	  p g m l stack parser p g m l stack parser add figure edge get port figure get diagram settings set style attributes read argo diagram read argo diagram set diagram add translations interpret style read diagram construct figure set attrs attach edges get figure node get handler get owner   figure edges model elements by figure edge diagram settings  
org.argouml.model.mdr.XmiReferenceResolverImpl	  xmi reference resolver implement xmi reference resolver implement get suffix clear id maps get reference register int get valid url fixup url find model url on classpath get id    object map get id    object maps get reference int find module url read external document register    url   id    object mofid    xmiref top system id pending profiles base uri modules path url map reverse url map profile public  system ids model public id model implement classpath model suffixes  
org.argouml.cognitive.ui.ToDoByOffender	     do by offender    do by offender    do items changed    do items added    do items removed    do list changed    
org.argouml.cognitive.ui.GoalsDialog	  goals dialog goals dialog init main panel state changed dialog width dialog height main panel sliders    goals sliders    digits     uid  
org.argouml.model.CommonBehaviorFactory	  common behavior factory common behavior factory create object create reception create link create signal build link build action build signal create action sequence create argument create attribute link create call action create create action create data value create destroy action create exception create link end create link object create node instance create return action create send action create stimulus build call action build stimulus build reception create component instance create subsystem instance create terminate action create uninterpreted action build uninterpreted action  
org.argouml.profile.internal.ocl.OclInterpreter	  ocl interpreter ocl interpreter get triggers get criticized design materials applicable check tree model interpreter  
org.argouml.ui.explorer.rules.GoStateToDownstream	  go state    downstream go state    downstream get dependencies get rule name get children  
org.argouml.pattern.cognitive.critics.CrConsiderFacade	  critic consider facade critic consider facade predicate      uid  
org.argouml.model.DummyModelCommand	  dummy model command dummy model command   undoable   redoable execute undo  
org.argouml.uml.diagram.state.ui.ActionCreatePseudostate	  action create pseudostate action create pseudostate make node  
org.argouml.uml.diagram.ui.ActionCompartmentDisplay	  action compartment display action compartment display get actions action performed display c type compartment attribute compartment operation compartment extensionpoint compartment enumliteral show attribute compartment hide attribute compartment show operations compartment hide operations compartment show extpoint compartment hide extpoint compartment show all compartments hide all compartments show enumliteral compartment hide enumliteral compartment  
org.argouml.cognitive.Poster	  poster poster get clarifier supports supports fix it can fix it still valid snooze unsnooze get supported goals contains knowledge type get supported decisions expand  
org.argouml.uml.diagram.UmlDiagramRenderer	  uml diagram renderer uml diagram renderer set source port get node presentation for set ports set destination port add edge get figure node for association end get figure node for get figure edge for set style attributes  assertions disabled  
org.argouml.cognitive.DecisionModel	  decision model decision model start considering set decision priority get decision list define decision stop considering find decision decisions  
org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTargetScopeCheckBox	  uml structural feature target scope check box uml structural feature target scope check box build model  
org.argouml.uml.diagram.deployment.ui.SelectionComponent	  selection component selection component get instructions get new node get icons get new edge type get new node type   reverse edge dep dep right icons instructions  
org.argouml.uml.reveng.MethodImportInterface	  method import interface method import interface begin method imports end method imports  
org.argouml.model.mdr.CoreHelperMDRImpl	  core helper mdr implement core helper mdr implement set attributes add comment add parameter add parameter get body set owner   sub type set container set resident set namespace set abstract set leaf set navigable set ordering set child set query set kind set body set body get association end get association end get element residence get generalization set specification set specification set specification set visibility set multiplicity set multiplicity set multiplicity set association set aggregation set target scope set changeability set concurrency internal get all realized interfaces get associations get associations get parents get parents get subtypes get flows get all nodes add client add feature add feature add literal add link add qualifier add supplier set features set static set power type set residents set sources get all behavioral features get behavioral features get realized interfaces get extended classifiers get extending classifiers get associated classifiers get all visible elements get all visible elements get first shared namespace get first shared namespace get all possible namespaces get all realized interfaces equals aggregation kind remove annotated element remove client dependency remove supplier dependency remove template argument remove template parameter add deployment location remove element residence add supplier dependency set model element container set multiplicity internal remove deployment location set enumeration literals get all meta datatype names add stereotype get supertypes set tagged value create command get first item or null get all supertypes get utilized elements set default element get specification get associate ends inh remove feature remove literal set operations get attributes inh get operations inh get all parents get all parents   visibly owned   visibly owned get return parameters get all interfaces get all classes get extending elements get all components get all data types get all classifiers get all attributes get dependencies get package imports has import stereotype get package import get package import get relationships   valid namespace   valid namespace   valid namespace   valid namespace   valid namespace   profile package has composite end remove connection remove constraint remove owned element remove qualifier remove source flow remove target flow add annotated element add client dependency add connection add connection add constraint add element residence add manifestation add owned element add raised signal add raised exception add source flow add target flow add template argument add template argument add template parameter add template parameter set aggregation  set aggregation  set annotated elements set raised signals set connections set discriminator create multiplicity set qualifiers set specifications add all stereotypes remove stereotype clear stereotypes get all metatype names set read only set name set parent get path set initial value   visible set type get source set parameters set active get destination get full name add method remove parameter equal set parameter set feature get children get children set root set default value   model implement  assertions disabled  
org.argouml.cognitive.checklist.Checklist	  checklist checklist get check item list set next category    string add all add item next category  
org.argouml.uml.diagram.Relocatable	  relocatable relocatable get relocation candidates relocate   relocation allowed  
org.argouml.uml.diagram.static_structure.ui.InitClassDiagram	  init class diagram init class diagram get project settings tabs get details tabs get settings tabs init  
org.argouml.ui.explorer.rules.GoBehavioralFeatureToStateDiagram	  go behavioral feature    state diagram go behavioral feature    state diagram get dependencies get rule name get children  
org.argouml.ui.cmd.ActionPageSetup	  action page setup action page setup action performed  
org.argouml.uml.diagram.use_case.ui.StylePanelFigUseCase	  style panel figure use case style panel figure use case refresh item state changed ep check box refresh transaction  
org.argouml.ui.cmd.ActionAdjustGrid	  action adjust grid action adjust grid build grid action create adjust grid actions init action performed set group my map default id my group default mask  
org.argouml.ui.TreeModelComposite	  tree model composite tree model composite get child get root   leaf get child count get index of child value for path changed set root   root  
org.argouml.uml.ui.ActionNavigateUpPreviousDown	  action navigate up previous down action navigate up previous down get parent get family navigate     assertions disabled  
org.argouml.cognitive.ui.ToDoTreeRenderer	     do tree renderer    do tree renderer lookup icon resource get tree cell renderer component post it  post it   post it   post it   post it   post it    post it d  post it d   post it d   post it d   post it d   post it d    tree cell renderer  
org.argouml.core.propertypanels.ui.UMLEditableComboBox	  uml editable combo box uml editable combo box do on edit remove notify focus gained focus lost action performed fire popup menu will become invisible  
org.argouml.cognitive.Critic	  critic critic get headline get headline get headline get clarifier predicate make wizard supports supports fix it can fix it still valid snooze unsnooze critique    do item post item get more information url get more information url get supported goals add supported decision add supported goal add knowledge type default more information url add control rec get critic category get critic name get knowledge types set knowledge types set knowledge types set knowledge types set knowledge types reason code for get trigger mask get control rec   relevant    goals get wizard class get decision category set decision category get critic type set more information url contains knowledge type get criticized design materials get supported decisions   relevant    decisions get description template snooze order get critic key add trigger match reason be active be inactive   snoozed init wizard set headline    string set priority get priority get priority expand   active   enabled set enabled get description set description   problem found no problem enabled snooze order kt designers kt correctness kt completeness kt consistency kt syntax kt semantics kt optimization kt presentation kt organizational kt experiencial kt tool priority headline description more information url default clarifier clarifier decision category supported decisions supported goals critic type   active control recs knowledge types trigger mask  
org.argouml.core.propertypanels.ui.UMLExpressionModel	  uml expression model uml expression model get body set language set body get expression set expression set expression start listening for model changes stop listening for model changes new expression get language get target property change add change listener remove change listener fire state changed   target property name remember expression emptystring listener list change event  assertions disabled  
org.argouml.uml.reveng.ImportSettings	  import settings import settings get import level get input source encoding detail classifier detail classifier feature detail full  
org.argouml.uml.diagram.static_structure.ui.FigModel	  figure model figure model construct figures  
org.argouml.uml.diagram.static_structure.ui.FigStereotypeDeclaration	  figure stereotype declaration figure stereotype declaration update listeners get pop up actions make selection construct figures  
org.argouml.pattern.cognitive.critics.CrConsiderSingleton	  critic consider singleton critic consider singleton predicate      uid  
org.argouml.notation.providers.ModelElementNameNotation	  model element name notation model element name notation initialise listener  
org.argouml.model.ModelImplementation	  model implementation model implementation get state machines factory get state machines helper get common behavior helper get core helper get uml factory get data types helper get facade get uml helper get model management helper get scope kind get xmi reader get xmi writer get meta types get extension mechanisms factory get model event pump get copy helper get core factory get use cases factory get use cases helper get changeable kind get aggregation kind get pseudostate kind get concurrency kind get direction kind get ordering kind get visibility kind get data types factory get common behavior factory get extension mechanisms helper get diagram interchange model get activity graphs factory get activity graphs helper get collaborations factory get collaborations helper get model management factory  
org.argouml.uml.cognitive.critics.WizOperName	  wizard operations name wizard operations name find namespace get options get number steps do action make panel undo action set possible constructor   possible constructor stereotype path chosen option  option  step  step  create stereotype added create stereotype     uid  
org.argouml.uml.ui.behavior.collaborations.ActionNewActionForMessage	  action new action for message action new action for message get instance   enabled action performed singleton  
org.argouml.model.ActivityGraphsFactory	  activity graphs factory activity graphs factory create action state build activity graph create partition create call state create activity graph build object flow state build classifier in state create sub activity state create object flow state create classifier in state  
org.argouml.uml.ui.UMLListCellRenderer2	  uml list cell renderer  uml list cell renderer  make text make type name get name get list cell renderer component show icon show path  
org.argouml.ui.explorer.ExplorerPerspective	  explorer perspective explorer perspective get rules array make named clone add rule remove rule    string set name get list rules name  
org.argouml.notation.providers.ActionStateNotation	  action state notation action state notation initialise listener  
org.argouml.uml.cognitive.ChildGenSearch	  child generator search child generator search child iterator get instance instance  
org.argouml.uml.ui.behavior.common_behavior.ActionNewSendAction	  action new send action action new send action create action get button instance get instance singleton  
org.argouml.model.DiagramInterchangeFactory	  diagram interchange factory diagram interchange factory create diagram create property add property build diagram has property create point get diagram element owner build uml  semantic model bridge exists property remove property create graph connector create ellipse create graph edge create diagram link   diagram owner set model diagram get model diagram create graph node create polyline create reference create text element create bezier point create dimension build graph node build property create uml  semantic model bridge create simple semantic model element build simple semantic model element get property get properties set property create image  
org.argouml.uml.cognitive.critics.CrNodeInstanceInsideElement	  critic node instance inside element critic node instance inside element compute offenders still valid    do item predicate   
org.argouml.ui.DisplayTextTree	  display text tree display text tree get notation settings format transition label format tagged value label get model element display name reexpand format extension point generate stereotype get expanded paths set show stereotype set model convert value    text fire tree collapsed fire tree expanded   expanded paths in model reexpanding show stereotype     uid  
org.argouml.uml.diagram.ui.InitDiagramAppearanceUI	  init diagram appearance ui init diagram appearance ui get project settings tabs get details tabs get settings tabs init  
org.argouml.uml.ui.UMLExpressionBodyField	  uml expression body field uml expression body field get targettable model target changed target reasserted update property change insert update remove update changed update   model notify model  
org.argouml.uml.diagram.ui.ActionStereotypeViewSmallIcon	  action stereotype view small icon action stereotype view small icon  
org.argouml.util.logging.SimpleTimer	  simple timer simple timer result            string mark mark points labels  
org.argouml.uml.cognitive.critics.WizTooMany	  wizard too many wizard too many get number steps do action make panel can finish instructions step   
org.argouml.ui.SettingsTabProfile	  settings tab profile settings tab profile     build panel get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh create profile list get available profiles get used profiles collect sub directories refresh lists init default stereotype view selector set visible action performed load from file add button remove button available list default list directory list add directory remove directory refresh profiles stereotype label stereotype field initialized  
org.argouml.uml.reveng.Setting	  setting setting get label get description label description  
org.argouml.uml.diagram.ui.FigAttributesCompartment	  figure attributes compartment figure attributes compartment get notation type get compartment type get uml collection create figure text get name     uid  
org.argouml.model.ScopeKind	  scope kind scope kind get classifier get instance  
org.argouml.uml.cognitive.critics.CrNoOutgoingTransitions	  critic no outgoing transitions critic no outgoing transitions   some subvertex of get criticized design materials predicate   
org.argouml.uml.diagram.static_structure.ui.FigClassifierBox	  figure classifier box figure classifier box rendering changed update listeners class name and bounds get pop up actions build modifier pop up build show pop up build add menu get default bounds update compartment clone translate property change update layout operations figure compartment  
org.argouml.uml.diagram.state.ui.StateDiagramPropPanelFactory	  state diagram property panel factory state diagram property panel factory create property panel create property panel  
org.argouml.uml.ui.foundation.core.ActionSetFeatureOwnerScope	  action set feature owner scope action set feature owner scope action performed  
org.argouml.model.UseCasesFactory	  use cases factory use cases factory create actor create extend build extension point build extend build extend build include build actor create extension point create include create use case  
org.argouml.ocl.OCLEvaluator	  ocl evaluator ocl evaluator eval    string eval    string value  string evaluator vt model interpreter  
org.argouml.uml.diagram.DiagramAppearance	  diagram appearance diagram appearance get standard font get configured font name get instance property change   key font name key font size key show bold names key default shadow width key hide bidirectional arrows singleton stereotype view textual stereotype view big icon stereotype view small icon  
org.argouml.uml.diagram.static_structure.ui.FigPackage	  figure package figure package     set line color set line width get fill color text edit started update stereotype text class name and bounds get closest point get pop up actions get use trap rectangle set standard bounds create big port figure build show pop up update bounds       visibility visible   filled         create class diagram set stereotype visible set visibility visible set figure poly get figure poly do stereotype do visibility   stereotype visible clone initialize get minimum size get line width get line color model changed   minimum height minimum width width height indent x text h tab height body background figure poly stereotype visible     uid  
org.argouml.uml.cognitive.critics.CrDisambigStateName	  critic disambiguous state name critic disambiguous state name get clarifier get criticized design materials predicate      uid  
org.argouml.uml.diagram.ui.ArgoFigText	  argo figure text argo figure text rendering changed get project get settings set owner update font set project set settings update listeners delete from model remove notification listener remove notification listener add notification listener get figure font style get notification information property change notifier settings  
org.argouml.profile.ProfileReference	  profile reference profile reference get public reference get path path url  assertions disabled  
org.argouml.uml.cognitive.critics.CrProfile	  critic profile critic profile get localized string localization prefix     uid  
org.argouml.uml.ui.InitUmlUI	  init uml ui init uml ui get project settings tabs get details tabs get settings tabs init  
org.argouml.uml.reveng.ui.ImportClasspathDialog	  import classpath dialog import classpath dialog                         update path list paths paths model add button remove button chooser setting  
org.argouml.uml.ui.ActionSaveProjectAs	  action save project as action save project as action performed       uid  
org.argouml.uml.cognitive.critics.CrIllegalGeneralization	  critic illegal generalization critic illegal generalization get criticized design materials predicate   
org.argouml.uml.diagram.ui.ArgoFigGroup	  argo figure group argo figure group rendering changed get project get settings set owner set project set settings   settings  
org.argouml.util.KeyEventUtils	  key event utilities key event utilities   action event format key stroke get key text get modifiers text modifier joiner shift modifier ctrl modifier meta modifier alt modifier alt graph modifier  
org.argouml.model.euml.DataTypesFactoryEUMLImpl	  data types factory e uml implement data types factory e uml implement create procedure expression create multiplicity create multiplicity create multiplicity create expression create expression create time expression create type expression string    bound bound    string create action expression create argument lists expression create boolean expression create iteration expression create mapping expression create object set expression create multiplicity range create multiplicity range model implement  
org.argouml.model.mdr.ActivityGraphsFactoryMDRImpl	  activity graphs factory mdr implement activity graphs factory mdr implement create action state create action state build activity graph build activity graph create partition create partition create call state create call state create activity graph create activity graph delete partition delete call state delete activity graph delete action state build object flow state build object flow state delete sub activity state delete object flow state delete classifier in state build classifier in state build classifier in state create sub activity state create sub activity state create object flow state create object flow state create classifier in state create classifier in state model implement  
org.argouml.core.propertypanels.ui.UMLConditionExpressionModel	  uml condition expression model uml condition expression model get expression set expression new expression    
org.argouml.uml.ui.TabProps	  tab props tab props create property panel target set target added get class base name target removed should be enabled fire target added fire target removed fire target set add target listener add panel remove target listener find panel for get target set target refresh set orientation   blank panel panels last panel panel class base name current panel target listener list  
org.argouml.profile.internal.ocl.uml14.CollectionsModelInterpreter	  collections model interpreter collections model interpreter get built in symbol invoke feature clone collection do for all  
org.argouml.ui.explorer.rules.GoElementToMachine	  go element    machine go element    machine get dependencies get rule name get children  
org.argouml.ui.explorer.rules.GoClassifierToStructuralFeature	  go classifier    structural feature go classifier    structural feature get dependencies get rule name get children  
org.argouml.uml.diagram.static_structure.ui.ClassDiagramPropPanelFactory	  class diagram property panel factory class diagram property panel factory create property panel create property panel  
org.argouml.model.euml.ChangeableKindEUMLImpl	  changeable kind e uml implement changeable kind e uml implement get changeable get frozen get add only  
org.argouml.uml.diagram.static_structure.ui.FigEdgeNote	  figure edge note figure edge note remove from diagram rendering changed set source figure node set destination figure node get project get settings remove element listener set figure set owner get tip string set item uid get item uid set project set settings add element listener    string get source property change get destination model changed   comment annotated element settings item uid  
org.argouml.uml.cognitive.critics.CrInvalidSynch	  critic invalid synch critic invalid synch get criticized design materials predicate   
org.argouml.gefext.ArgoModeCreateFigPoly	  argo mode create figure poly argo mode create figure poly instructions create new item  
org.argouml.uml.reveng.ui.ImportStatusScreen	  import status screen import status screen       complete                     notify message progress notify null action set maximum progress update main task update sub task   canceled close window activated window closed window closing window deactivated window deiconified window iconified window opened update progress cancel button progress label progress message area has messages canceled     uid  
org.argouml.uml.cognitive.critics.CrObjectWithoutComponent	  critic object without component critic object without component compute offenders still valid    do item predicate   
org.argouml.uml.ui.foundation.core.UMLModelElementVisibilityRadioButtonPanel	  uml model element visibility radio button panel uml model element visibility radio button panel build model set enabled     uid label texts and action commands  
org.argouml.notation.providers.java.OperationNotationJava	  operation notation java operation notation java get parsing help generate concurrency generate abstractness    string    string parse    
org.argouml.notation.providers.ObjectFlowStateTypeNotation	  object flow state type notation object flow state type notation initialise listener  
org.argouml.uml.ui.UMLTextArea2	  uml text area  uml text area  get targettable model property change     uid  
org.argouml.uml.ui.foundation.core.UMLDiagramNameDocument	  uml diagram name document uml diagram name document get property set property  
org.argouml.ui.cmd.ShortcutMgr	  shortcut manager shortcut manager  
org.argouml.uml.cognitive.critics.CrNWayAgg	  critic n way aggregate critic n way aggregate get criticized design materials predicate      uid  
org.argouml.uml.diagram.state.ui.FigSynchState	  figure synch state figure synch state set line color set line width get fill color set fill color set filled init figures update font set standard bounds create big port figure   filled clone   resizable mouse clicked get line width get line color model changed x y width height bound head  
org.argouml.uml.cognitive.critics.CrInterfaceOperOnly	  critic interface operations only critic interface operations only get criticized design materials predicate   
org.argouml.uml.cognitive.critics.CrMissingAttrName	  critic missing attribute name critic missing attribute name get clarifier get wizard class get criticized design materials init wizard predicate   
org.argouml.uml.ui.ActionGenerateAll	  action generate all action generate all add collection   enabled action performed  
org.argouml.core.propertypanels.ui.UMLExpressionBodyField	  uml expression body field uml expression body field update insert update remove update changed update   model notify model  
org.argouml.cognitive.ui.WizStepCue	  wizard step cue wizard step cue instructions     uid  
org.argouml.model.mdr.MetaTypesMDRImpl	  meta types mdr implement meta types mdr implement get namespace get state machine get association end role get enumeration literal get signal get scope kind get artifact get binding get flow get operation get usage get link end get stereotype get abstraction get association class get association end get constraint get dependency get element residence get generalization get template argument get template parameter get behavioral feature get expression get extension point get interaction get multiplicity get component instance get node instance get classifier get transition get aggregation kind get pseudostate kind get visibility kind get link get guard get use case get activity get data value get extend get include get action sequence get tag definition get model element get association get attribute link get create action get classifier in state get element import get call action get tagged value get actor get reception get stimulus get package import get primitive type get association role get collaboration get classifier role get action expression get boolean expression get multiplicity range get destroy action get link object get return action get send action get subsystem instance get terminate action get collaboration instance set get interaction instance set get uninterpreted action get sub activity state get object flow state get action state get sub machine state get central buffer node get composite state get accept event action get all meta types get control flow get data store node get expansion node get final state get object flow get opaque expression get pseudostate get send signal action get simple state get state vertex get synch state get change event get literal boolean get literal integer get literal string get relationship get signal event get structural feature get activity parameter node get call behavior action get call concurrency kind get component realization get create object action get destroy object action get partition get call state get lifeline get output pin get stub state get input pin get uml class get connector get event get subsystem get call event get time event get generalizable element get instance specification get parameter direction kind get name get instance get method get package get property get message get exception get state get enumeration get object get region get port get component get profile get model get comment get action get attribute get element get data type get parameter get feature get node get interface get argument all meta types  
org.argouml.model.mdr.StateMachinesFactoryMDRImpl	  state machines factory mdr implement state machines factory mdr implement build call event build call event build call event build call event build change event build change event build change event build change event build signal event build signal event build signal event build signal event build time event build time event build time event build time event build composite state build composite state build composite state on state machine build composite state on state machine create call event create call event create change event create change event create composite state create composite state create final state create final state create pseudostate create pseudostate create signal event create signal event create simple state create simple state create state machine create state machine create stub state create stub state create synch state create synch state create time event create time event create transition create transition build state machine build state machine build transition build transition build transition build transition build pseudo state build pseudo state build synch state build synch state build stub state build stub state build simple state build simple state build final state build final state build sub machine state build sub machine state get sm package create guard create guard build guard build guard delete event delete guard delete state create sub machine state create sub machine state build internal transition build internal transition delete sub machine state delete call event delete change event delete composite state delete final state delete pseudostate delete signal event delete non null delete simple state delete state machine delete state vertex delete stub state delete synch state delete time event delete transition   model implement  assertions disabled  
org.argouml.uml.ui.behavior.activity_graphs.ActionAddEventAsTrigger	  action add event as trigger action add event as trigger do it get choices get selected get dialog title singleton  
org.argouml.uml.diagram.ui.ModeCreateCommentEdge	  mode create comment edge mode create comment edge get meta type   connection valid  
org.argouml.model.ExtensionMechanismsHelper	  extension mechanisms helper extension mechanisms helper get stereotype get stereotype get stereotypes get stereotypes set data values   stereotype add base class apply profile set tag type get all possible stereotypes make profile applicable get meta model name   valid stereotype add copy stereotype   stereotype inh add extended element remove base class set value of tag add tagged value remove tagged value set tagged value unapply profile has stereotype set type set icon  
org.argouml.util.ArgoDialog	  argo dialog argo dialog name buttons name button init set frame frame mnemonic key suffix  
org.argouml.kernel.DefaultUndoManager	  default undo manager default undo manager start interaction     set undo maximum add command get instance execute add property change listener remove property change listener fire redo undo   undo maximum listeners new interaction project new interaction label undo stack redo stack instance  
org.argouml.util.FileFilters	  file filters file filters get suffix uncompressed file filter compressed file filter xmi filter pgml filter configure filter hist filter   filter gif filter png filter ps filter eps filter svg filter  
org.argouml.uml.diagram.ui.FigStereotype	  figure stereotype figure stereotype set line width initialize set text set text update layout  assertions disabled  
org.argouml.ui.ActionCreateContainedModelElement	  action create contained model element action create contained model element action performed meta type property  
org.argouml.gefext.ArgoFigLine	  argo figure line argo figure line delete from model remove notification listener remove notification listener add notification listener get notification information notifier  
org.argouml.uml.reveng.ImportInterface	  import interface import interface   parseable parse files get suffix filters get import settings source path tag source modifiers tag  
org.argouml.moduleloader.ModuleInterface	  module interface module interface get name disable enable get information description author   downloadsite  
org.argouml.ui.GUI	  gui gui add project settings tab get project settings tabs add settings tab get settings tabs get instance instance settings tabs project settings tabs  
org.argouml.uml.diagram.static_structure.ui.SelectionStereotype	  selection stereotype selection stereotype   edge post process requested get instructions get new node get icons get new edge type get new node type   reverse edge create edge above mouse entered inherit icon depend icon use composite icons instructions  
org.argouml.persistence.PrivateHandler	  private handler private handler container    
org.argouml.model.AbstractModelEventPump	  abstract model event pump abstract model event pump add model event listener add model event listener add model event listener remove model event listener remove model event listener remove model event listener remove class model event listener remove class model event listener add class model event listener add class model event listener  
org.argouml.model.euml.UmlHelperEUMLImpl	  uml helper e uml implement uml helper e uml implement   movable add listeners    model delete collection new position get source move get destination model implement  
org.argouml.uml.UUIDHelper	  u uid helper u uid helper get new u uid get u uid  
org.argouml.model.mdr.XmiReferenceProviderImpl	  xmi reference provider implement xmi reference provider implement get reference mof id    xmi id top system id saved top system id  
org.argouml.model.mdr.XmiWriterMDRImpl	  xmi writer mdr implement xmi writer mdr implement set xmi extension writer write   model implement model configure writer output stream encoding xmi   xmi extension writer target  
org.argouml.uml.diagram.activity.ui.ActivityDiagramPropPanelFactory	  activity diagram property panel factory activity diagram property panel factory create property panel create property panel  
org.argouml.notation.providers.uml.ClassifierRoleNotationUml	  classifier role notation uml classifier role notation uml get parsing help parse classifier role    string    string parse  
org.argouml.uml.cognitive.critics.CrInvalidHistory	  critic invalid history critic invalid history get criticized design materials predicate   
org.argouml.uml.diagram.activity.ui.FigActionState	  figure action state figure action state get notation provider type set line color set line width get fill color set fill color set filled set standard bounds create big port figure   filled initialize action state clone get minimum size get line width get line color model changed height state width padding cover  
org.argouml.util.SuffixFilter	  suffix filter suffix filter get suffix get suffixes    string accept get extension get extension get description suffixes description  
org.argouml.uml.cognitive.critics.CrUnconventionalOperName	  critic unconventional operations name critic unconventional operations name compute offenders compute suggestion still valid    do item get wizard class get criticized design materials init wizard predicate  candidate for constructor  
org.argouml.uml.diagram.static_structure.ui.PropPanelUMLClassDiagram	  property panel uml class diagram property panel uml class diagram  
org.argouml.core.propertypanels.ui.UMLNodeDeployedComponentListModel	  uml node deployed component list model uml node deployed component list model   valid element build model list  
org.argouml.uml.cognitive.critics.CrInvalidBranch	  critic invalid branch critic invalid branch get criticized design materials predicate   
org.argouml.uml.ui.ActionCut	  action cut action cut remove from diagram allowed   system clip board empty get instance action performed caret update instance localize key text source  
org.argouml.profile.FormatingStrategy	  formating strategy formating strategy format element format collection  
org.argouml.uml.diagram.static_structure.ui.FigDataType	  figure data type figure data type make selection set enclosing figure get keyword construct figures add extra compartments    
org.argouml.activity2.ActivityDiagramPropPanelFactory	  activity diagram property panel factory activity diagram property panel factory create property panel create property panel  
org.argouml.notation.providers.uml.MessageNotationUml	  message notation uml message notation uml    string    
org.argouml.application.events.ArgoHelpEvent	  argo help event argo help event get help text get event start range help text  
org.argouml.uml.diagram.ui.FigMessage	  figure message figure message rendering changed get notation provider type set line color set line width get fill color set fill color set filled init figures update listeners update listeners set standard bounds   filled add path item    figure association role get arrow set arrow update arrow get arrow directions update arguments from parameter clone get minimum size get line width get line color model changed arrow directions south east west north figure poly arrow direction  
org.argouml.swingext.JLinkButton	  j link button j link button   link visited setup tool tip text get link behavior get active link color get disabled link color get visited link color set link url get link color get link url param string get ui class id update ui always underline hover underline never underline system default link behavior link color color pressed visited link color disabled link color button url default action   link visited  
org.argouml.ui.TabTarget	  tab target tab target should be enabled get target set target refresh  
org.argouml.profile.internal.FormatingStrategyUML	  formating strategy uml formating strategy uml format element format collection ensure first char lower case default generalization name default association end name default association name get element separator get empty collection default name build path get path separator  
org.argouml.uml.diagram.static_structure.ui.SelectionEnumeration	  selection enumeration selection enumeration get instructions get new node get new node type instructions  
org.argouml.ui.explorer.ExplorerEventAdaptor	  explorer event adaptor explorer event adaptor         model element added structure changed model element changed set tree model uml event listener get instance property change model changed   instance tree model  
org.argouml.ui.explorer.rules.GoStatemachineToDiagram	  go statemachine    diagram go statemachine    diagram get dependencies get rule name get children  
org.argouml.uml.diagram.ui.ActionSetAddCommentLinkMode	  action set add comment link mode action set add comment link mode  
org.argouml.uml.ui.TabDocumentation	  tab documentation tab documentation should be enabled should be enabled disable text area orientation  
org.argouml.ui.SettingsTabPreferences	  settings tab preferences settings tab preferences build panel get tab key get tab panel handle reset    default handle settings tab save handle settings tab cancel handle settings tab refresh top panel check splash check reload recent check strip diagrams     uid  
org.argouml.cognitive.checklist.CheckManager	  check manager check manager get status for get checklist for lookup checklist register lists statuses  
org.argouml.uml.diagram.ui.FigTextGroup	  figure text group figure text group remove from diagram calculate bounds delete from model add figure update figure texts contains mouse clicked mouse entered mouse exited mouse pressed mouse released hit supress calculate bounds  
org.argouml.uml.ui.UMLTaggedValueCheckBox	  uml tagged value check box uml tagged value check box build model tag name  
org.argouml.uml.diagram.ui.PropPanelDiagram	  property panel diagram property panel diagram get home model selector home model selector home model combo box model  
org.argouml.cognitive.ui.DismissToDoItemDialog	  dismiss    do item dialog dismiss    do item dialog                                 explain bad goal bad dec set target set visible   bad goal button bad dec button explain button action group explanation target  
org.argouml.ui.cmd.ShortcutField	  shortcut field shortcut field add shortcut changed listener fire shortcut changed event     uid listener list  
